title, url, upvotes, lastModifiedtime, lastModifiedText, content
Individual Form 8962 Part 4,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000031154_en_US?modified_at=2017-08-10+15%3A12%3A59+UTC,1,2017-08-10 15:12:59,Last Modified 254 days ago,"Description
How do I generate Form 8962, Part 4 - Shared Policy Allocation?

Solution Description
To enter/generate Form 8962, Part 4:

Go to Screen 39.1, Health Coverage, Exemptions, and Miscellaneous.

Click on Health Insurance Marketplace Statement (Form 1095-A) from the left navigation panel. (This will take you to Screen 39.2.)

Enter the information from Form 1095-A.
Scroll down to the Shared Policy Allocation (Part IV) section.
Complete the Allocations subsection:   
  
Enter the SSN of Taxpayer Allocation (this is the SSN of the other Taxpayer). (Form 8962, Part 4, lines 30-33 column b)   
    
Enter the SSN of the taxpayer with whom you are allocating policy amounts. The SSN may or may not be report on your Form 1095-A, depending on your relationship to the other taxpayer.  
 
Enter the Allocation - Start Month. (Form 8962, Part 4, lines 30-33 column c)   
    
Enter the first month you are allocating policy amounts.  
 
Enter the Allocation - End Month. (Form 8962, Part 4, lines 30-33 column d)   
    
Enter the last month you are allocating policy amounts.  
 
Enter the Allocation % Applied to Monthly - Premium %. (if applicable) (Form 8962, Part 4, lines 30-33 column e)   
    
If your allocation situation requires you to allocate the enrollment premium on Form 1095-A, lines 21 through 32, column A, enter the allocation percentage for the amount that applies to this return in column e. Enter your allocation percentage as a decimal rounded to two places (for example, for 40%, enter 0.40). Otherwise, leave column e blank.  
 
Enter the Allocation % Applied to Monthly - SLCSP %. (Form 8962, Part 4, lines 30-33 column f)   
    
If your allocation situation requires you to allocate the premium for the applicable SLCSP on Form 1095-A, lines 21 through 32, column B, enter the allocation percentage for the amount that applies to this return in column f. Enter your allocation percentage as a decimal rounded to two places (for example, for 67%, enter 0.67). You will enter an allocation percentage in column f, in the following two circumstances.   
      
You allocated the policy amounts under Taxpayers divorced or legally separated in 2014 (Table 3, Step 1).
You allocated the policy amounts under Policy shared with an individual for whom another taxpayer claims a personal exemption (Table 3, Steps 3, 4, or 5), and APTC was paid for an individual covered by the policy who was not in your tax family.  Leave column f blank in all other allocation situations... (See the 8962 instructions for more information.)  
 
 
Enter the Allocation % Applied to Monthly - Adv. Payment of the PTC %. (Form 8962, Part 4, lines 30-33 column g)   
    
If your allocation situation requires you to allocate the APTC on Form 1095-A, lines 21 through 32, column C, enter the allocation percentage for the amount that applies to this return in column g. Enter your allocation percentage as a decimal rounded to two places (for example, for 80%, enter 0.80). Otherwise, leave column g blank
 
 

See Form 8962 instructions for more information and Specific Allocation Situations. HOW24717"
Norton Blocking Message for Sonar.am.c!g6,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000011986_en_US?modified_at=2017-08-10+16%3A12%3A15+UTC,0,2017-08-10 16:12:15,Last Modified 254 days ago,"Some users with Norton anti-virus software are getting a message that it is detecting malware.
The file located is name sonar.am.c!g6

Solution Description
It will be necessary to Turn the Sonar protection off.
Click here for instructions from Norton on how to disable the protection.
  SLN98303"
Error 0xc0000007b After Entering Login and Password for 2016 ProSeries,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000011915_en_US?modified_at=2018-04-21+21%3A02%3A02+UTC,0,2018-04-21 22:28:09,Last Modified 254 days ago,"Error 0xc0000007b After Entering Login and Password for 2016 ProSeries

Solution Description
Microsoft has posted various reasons for getting this error message, depending on your operating system.
Please consult your local IT representative for assistance.
Here is the link to the Microsoft website search on this code. 0xc0000007b SLN98124"
Unable to Read Data Error when Opening any Tax Client in Basic Edition 2015,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000011688_en_US?modified_at=2017-08-10+16%3A12%3A20+UTC,0,2017-08-10 16:12:20,Last Modified 254 days ago,"ProSeries  Basic Edition 2015 gives the error, ""Unable to Read Data,"" when opening any tax client from HomeBase.  A couple of other related symptoms include:

You can create a new client file but when you ""Save"" the client file the program crashes and stops responding. 
You can create a new client file but when you use ""Save As"" the tax program will also crash and stop responding.


Solution
There are occasions when the ""shared form"" files (i.e. SHRFRM15), located in C:\BasWin15\Common\, will become corrupted and cause the symptom described above.  Renaming these files usually corrects this issue and will enable Basic Edition 2015 to access its client files.  For steps on how to rename the shared form files, reference ""Unable to Read the Data"" Error Accessing All Client Files in ProSeries.
If renaming the shared form files does not correct this situation, then there is a possibility a Windows .Net component may have become corrupted or was improperly installed during a Windows system udpate. 
In the example below, a couple of updates to .Net version 4.6.1 was the source of the 'access' problem, which caused an 'unhandled exception' error whenever .Net was attempting to access Basic Edition's client database.  Once the updates were removed functionality returned to Basic Edition and clients could be accessed again.  We do not recommend uinstalling .Net components if you are not familiar or comfortable with the technology.  Instead, we suggest contacting a local technician to help you with repairing this important Windows component.   
 



  SLN97600"
Entering Depreciation on Form 1065 1120 1120S 1041 or 990,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000032774_en_US?modified_at=2018-04-20+19%3A11%3A44+UTC,1,2018-04-21 22:28:16,Last Modified 254 days ago,"Problem Description

How do I enter depreciation on a business return (Including Forms 1120, 1120S, 1065, 1041, or 990)?
Where do I enter business assets?
Where do I enter car and truck depreciation on a business return?


Solution Description

 Enter depreciation on an Asset Entry Worksheet:




   Click 
   Forms on the menu bar or press 
   F6 to bring up the 
   Open Forms menu.
   


   Select 
   DEPRECIATION in the far left column of the 
   Open Forms screen.
   


   Click 
    OK.
   


   Click 
    the 
   QuickZoom button to open an 
   Asset Entry Worksheet.
   
At the bottom where it says Create new copy enter a Description.
Click Create.
This will open the Federal Asset Entry Worksheet.


 Depreciation will calculate automatically based upon the entries entered on this worksheet.


  


Note: 


ProSeries business returns do not have a Car and Truck Worksheet like the one in the Form 1040 module.
Enter Automobile and Truck depreciation on the Asset Entry Worksheet. 


  

  GEN65015"
Reporting Foreign Income on Form 2555,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000039843_en_US?modified_at=2017-08-10+17%3A14%3A41+UTC,0,2017-08-10 17:14:41,Last Modified 254 days ago,"Problem Description

 Foreign Income may be reported in multiple ways:


On a W-2 form or 1099-R
Not reported on either a W-2 or 1099-R but on a Foreign Form/Letter.

How are these amounts entered?

Solution Description

 There are two separate methods of entering foreign wages for exclusion on Form 2555 (lines 19 through 23, 
 except for line 20): 




   Enter the Foreign Wages on the 
   W-2 Worksheet or the 
   Wages, Salaries & Tips Worksheet and mark them as Foreign Wages.
   


 If entered in this manner, the Foreign Wages will flow first to the 
 2555 Income Allocation Worksheet, line 19c, and then to Form 2555, line 19, 


OR




   Enter the Foreign Wages 
   directly on the 
   2555 Income Allocation Worksheet ( 
   NOT on Form 2555) and check the box in the 
   Flow Foreign Wages to Form 1040 Smart Worksheet on the 
   Form 2555 Income Allocation Worksheet.
   


 If entered in this manner, no wages will flow to the Form 2555 from the 
 W-2 Worksheet or the 
 Wages, Salaries & Tips Worksheet EVEN IF they are marked as Foreign. The amount from the 
 Form 2555 Income Allocation Worksheet, Line 42, column A, minus lines 20a and 20b, column A, will flow as income to the 
 Wages, Salaries & Tips Worksheet, Line 9.


  


NOTE:
Do not use a combination of the two methods and verify that all Foreign Income is properly reported on Form 1040.


  


 If there is 
 NOT an 
  X in the 
 Flow Foreign Wages to Form 1040 Smart Worksheet above, the program transfers Gross W-2 wages marked as Foreign Source from the 
 Worksheet PLUS entries made on the 
 Wages, Salaries & Tips Worksheet, Line 8b if the box is checked on line 8c, to line 19c.


  


 If Foreign Wages are entered elsewhere in the return, enter the amount(s) on lines 19a and 19b of the 2555 Income Allocation Worksheet.


  


Additional Information:


Entering Income for the Foreign Tax Credit Form 1116
 GEN55940"
Entering Form 1098-T Box 5- Scholarships,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000033952_en_US?modified_at=2017-08-10+17%3A14%3A45+UTC,0,2017-08-10 17:14:45,Last Modified 254 days ago,"Where do I enter scholarships received on Form 1098-T, box 5?
The higher education expenses and the tuition and fees expenses are from Form 1098-T, box 2.  What are the ""...nontaxable benefits""?

From Publication 970:


 If you pay qualified education expenses with certain tax-free funds, you cannot claim a credit for those amounts. You must reduce the qualified education expenses by the amount of any tax-free educational assistance and refund(s) you received.


  


 Tax-free educational assistance includes:


The tax-free parts of scholarships and fellowships.


 A scholarship or fellowship is tax free only if:


You are a candidate for a degree at an eligible educational institution, and
You use the scholarship or fellowship to pay qualified education expenses.

So, ""nontaxable benefits"" would be the tax-free portion of any scholarship amounts that appear in Form 1098-T, box 5.  The amount in 1098-T, box 5 should reduce the amount in 1098-T, box 2 and the result will be entered in above-mentioned fields.

Solution Description

 There is not specific input field to enter scholarships received on a Form 1098-T, box 5 to net with the amount of total qualified expenses on the form 8863 or the higher education expenses on an education distribution, Form 1099-Q.


  


  


Solution #1- To enter Form 1098-T, box 5 to reflect on Form 1040, line 7:


Go to Screen 14.1, SS Benefits, Alimony, Miscellaneous Inc.
Scroll down to the Alimony and Other Income section.
Enter the taxable portion in Taxable scholarships and fellowships. (Lacerte includes this amount on the Wages line of Form 1040 and also includes a footnote for the item with the description ""SCH."")   

Solution #2- To enter Form 1098-T, box 5 against education distributions:

Go to Screen 14.3, Education Distributions.
Enter the amount in Higher education (net of nontaxable benefits).  


Solution #3- To enter Form 1098-T, box 5 against education credits/tuition deduction:

Go to Screen 38.1, Education Credits/Tuition Deduction. (Screen 38 in 2013 and prior years.)
Scroll down to the Current Year Expenses subsection.
Enter the amount in Qualified tuition and fees (net of nontaxable benefits). 
  
    
  

    
  


 


  


  

 

  


  


  

  GEN68250"
"Error Opening ProSeries 2016: ""MFC140.DLL is missing from your computer.......""",https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000011784_en_US?modified_at=2018-04-21+14%3A34%3A40+UTC,1,2018-04-21 22:28:26,Last Modified 254 days ago,"When opening ProSeries 2016 you receive the following error, ""MFC140.DLL is missing from your computer. Try reinstalling the program to fix this problem.""
                                                 
Solution Description:
This error can occur when the Microsoft Visual C++ 2015 Redistributable (x86) 32bit version is not installed, or is missing required files.  This may have occurred due to a third party application (i.e. backup software) preventing the installer from installing this component, or an issue with a Windows update may have caused the required file(s) to go missing. 


To resolve this situation:



Temporarily disable anti-virus and other significant third party applications (i.e. backup program).
Download the Visual C++ Redistributable for Visual Studio 2015 (32-bit).  The file name of this download is vc_redist.x86.exe.

Run the vc_redist.x86.exe file.  If an Uninstall button is displayed, select this option and proceed with Step 3.  If only an Install button is displayed, select this option and then skip to Step 4 when complete.
When the unistall is complete, again run the vc_redist.x86.exe and select Install.

When complete, restart your computer.
When the computer has restarted, verify the issue has been resolved.

Related Articles:

Error Opening ProSeries: ""API-MS-WIN-CORE-TIMEZONE.DLL is Missing from your Computer...""
Error Opening ProSeries: API-MS-WIN-CRT-RUNTIME-l1-1-0.DLL is Missing from your Computer...""
Error Opening ProSeries: ""API-MS-WIN-CRT-HEAP-l1-1-0.DLL is Missing from your Computer...""
 SLN97764"
Entering Form 1095-A Health Insurance Marketplace Statement,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000042116_en_US?modified_at=2018-04-21+14%3A56%3A33+UTC,0,2018-04-21 22:28:30,Last Modified 254 days ago,"How do I enter Form 1095-A?
Where do I enter Form 1095-A?
Entering Form 1095A.


Entering Form 1095-A

 Form 1095-A is received because your client or a client's family member enrolled in health insurance coverage through the Health Insurance Marketplace. If your client or client's family members enrolled at the Marketplace in more than one qualified health plan policy, a Form 1095-A will be issued for each policy.


  


 ProSeries provides a Form 1095-A Health Insurance Marketplace Statement worksheet that closely resembles the Form 1095-A that your client receives.  Similar to a W-2, you will transfer the values from the client's Form 1095-A to the worksheet in ProSeries.


  


 To enter Form 1095-A, Health Insurance Market Place Statement:


Press F6 for the Open Forms menu.
Type 1095-A and press Enter.  Then click the radio button labeled Create new copy.

Enter the Marketplace-assigned Policy Number and click Create.
Check the Ownership box (Taxpayer or Spouse), and if applicable also check 'Spouse covered'.
In Part I Recipient Information enter: 
  
Box 1 Market Place Identified.
Box 2 Marketplace-assigned Pol. No. (if not already entered) *Note- If the policy number is longer than 15 characters, enter the last 15 characters of the policy number. The policy number can be digits, alpha letters, and some special characters. (Example- If the policy number is 12345678901234A:123456, enter 8901234A:123456 in ProSeries.)
Box 3 Policy Issuer's Name (entered when creating copy of Form 1095-A).
Box 4, 5, and 6 are completed by the program based information entered in part 1 of the Federal Information Worksheet.
Box 7, 8, and 9 are completed if the ""Spouse Covered"" box is checked.
Box 10 Enter the Policy start date.
Box 11 Enter the Policy termination date.
Box 12, 13, 14, and 15 are completed by the program
 
In Part II Coverage Household enter on lines 16 through 20, columns A through E, information for each individual including the recipient and the recipient's spouse if covered under the policy. Note For each line, enter a date of birth in column C only if column B is blank.   
  
Tip! To quickly populate Part II with the Name, Social Security Number, and Date of Birth for the taxpayer, spouse, and each dependent already entered on the Federal Information Worksheet, mark the check box* located beneath the Part II 'Coverage Household' heading. You may then complete each row by entering the Start Date and Termination Date. 
   
 If using this check box results in Part II entries for individuals not documented on the taxpayer's Form 1095-A, simply remove the unwanted individuals.  To easily remove a row (individual), 
   Right-Click on the Covered Individuals Name and in the menu that appears select ' 
   Delete Line in Table'.  The row will be deleted.
    
In Part III, Coverage Information (Household Information in Tax Year 2014), lines 21 through 32 enter the information in Columns A, B and C for each month of coverage as reported on the Form 1095-A received. Tip!  Beginning in Federal 1040 version 2014.060 that is anticipated to be available for download on January 15, 2014 ProSeries will be implementing an new Copy Feature in Part III help increase your data entry speed when repetitive values are present on your client's Form 1095-A, lines 21 through 32.   More Info... 

 
 
  HOW24650"
Amending a Prior Year Individual 1040 Return from Within the Current Year Tax Program,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000038504_en_US?modified_at=2018-04-21+18%3A01%3A52+UTC,0,2018-04-21 22:28:33,Last Modified 254 days ago,"How do I amend a prior year return using the input in the current year tax program?
Solution
To amend a prior year return using the input in the current year tax program:



   Process and print Form 1040 (and any applicable state returns) for the return as it was originally filed
   
Create a New Client File in the current tax program (for the amended return)
Go to Screen 59, Amended Return (1040X)



   Click on the 
   Federal/state return(s) to amend (Ctrl+T) (Mandatory) drop down menu
   


   Type the year of the return that you want to amend in, 
   Year to Amend
 


   Check the boxes next to the returns you want to amend (Federal and/or State)
   


   Click 
   OK
 


   Scroll down to the 
   Federal Income Tax Return section
 


   Enter the amounts from the original Form 1040 in the 
   As Originally Reported column (Enter any state applicable information in the state amended screen.)
   


   Enter the amounts that are correct in the 
   Correct Amount column  
   


Please note that this applies to the Federal Return and some State Returns.  Some state returns cannot be amended from within the current year tax program.  Please check with the state to see how it handles amended returns.


  


 If no amounts are appearing on the return see the Form Instructions for which lines should be completed also see 
 Form 1040X is Generating but Certain Lines are not Completed


  


Related Articles


  


Generating an Amended Individual (1040) Return

  GEN51637"
February 22 2017 Proseries Professional Update Adds Option to Disable PII Masking,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000025110_en_US?modified_at=2018-04-20+22%3A12%3A00+UTC,0,2018-04-21 22:28:36,Last Modified 254 days ago,"Description
Beginning with the February 22, 2017 update, the 2016 ProSeries Professional program now has the ability to disable masking of personally identifiable information. 
**Note: The Partnership (1065) and Foreign Reporting (Form 114) modules are on a different engine and do not have masking enabled. This update did not affect those modules**   
 
Printing Masked Personally Identifiable Information
 
The Print This Client feature provides a checkbox to disable masking for printing the entire return.  Once the box is unchecked and the return is printed, masking will remain disabled when printing unless reactivated by re-checking the box. 




 




Batch Printing Forms




We previously identified an issue with the 2016 ProSeries Professional program that caused sensitive data to be masked when batch printing forms, including extensions.  This issue has been resolved.
 
 
Masked Personally Identifiable Information Fields
 
Beginning with the February 22, 2017 update, you now have the option to unmask sensitive data fields when working in a client file. 
To disable on-screen masking:

Click Tools > Options > General

Uncheck the Mask on-screen data in Open Client box
Click OK to save the options

  



 
 
  INF31262"
ProSeries Form 3800 FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030154_en_US?modified_at=2018-04-20+05%3A25%3A20+UTC,0,2018-04-21 22:28:39,Last Modified 254 days ago,"Below are the most popular support articles associated with Form 3800.   

How to enter information for Form 3800, Page 3 - Carryforward and Carryback Credits
Form 3800 Worksheet Nature of Activity Error

  GEN88726"
ProSeries Tax Planner FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030143_en_US?modified_at=2018-04-21+19%3A12%3A28+UTC,0,2018-04-21 22:28:42,Last Modified 254 days ago,"Below are the most popular support articles associated with the Tax Planner.   

Using the Tax Planner Worksheet
How To Activate the Tax Planner

  GEN88715"
ProSeries Form 8812 FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030162_en_US?modified_at=2018-04-21+16%3A26%3A48+UTC,0,2018-04-21 22:28:45,Last Modified 254 days ago,"Below are the most popular support articles associated with Form 8812. 
    

Who Qualifies For the Child Tax Credit?
Child Tax Credit is not Calculating
Child Tax Credit Is Not Calculating For Dependent Without SSN And Form W-7 Is Completed
 GEN88736"
ProSeries Schedule R FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030133_en_US?modified_at=2018-04-21+11%3A34%3A24+UTC,0,2018-04-21 22:28:49,Last Modified 254 days ago,"Below are the most popular support articles associated with Schedule R.   

Schedule R not Activating if Taxpayer is Under Age 65

  GEN88705"
Net Operating Loss FAQs,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000025080_en_US?modified_at=2017-08-10+17%3A15%3A10+UTC,0,2017-08-10 17:15:10,Last Modified 254 days ago,"The following articles are the top questions referring to Net Operating Losses

Frequently Asked Questions

Entering A Net Operating Loss Carryforward in ProSeries
Process for a Net Operating Loss (NOL) Carryback in a 1040 Return using Form 1040X
Generating an NOL Statement for an Individual return
Calculating Net Operating Loss for Alternative Minimum Tax
Carry Back a Net Operating Loss (NOL) More Than Three Years
 INF31156"
Distribution In Excess Of Retained Earnings For Form 1120S,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000036068_en_US?modified_at=2018-04-21+21%3A41%3A48+UTC,0,2018-04-21 22:28:54,Last Modified 254 days ago,"Problem Description
When entering a Distribution in excess of Retained Earnings, the Schedule M-2, line 7 only enters the Distribution up to the amount of Retained Earnings.

Solution Description

 Open the 
 Schedule M-2 / Retained Earnings Worksheet, and scroll down to the 
 Schedule M-2 / Retained Earnings Memo Smart Worksheet, line 
 G. This is the amount of Distributions in excess of Retained Earnings.


  


Distributions in excess of Retained Earnings


 Calculated on this line are distributions in excess of those allowable from retained earnings. (i.e. The amount of distributions entered on the Schedule K, Shareholders Distributions and Dividends Smart Worksheet, line A, is greater than the allowable distribution amount available in retained earnings.)


  


 You may need to adjust the end of year balance in another Schedule L account, such as capital stock, to bring the end of tax year balance sheet into balance.


  


 For certain circumstances you can force ProSeries to allow the distributions on the Schedule M-2 by completing the following steps:


Print the Schedule M-2 for reference.
On the Schedule M-2 check No to the question ""If Yes, use automated Schedule M-2/Retained Earning Worksheet amounts?"". This will cause ProSeries to not complete the Schedule M-2 automatically.
Scroll back up to the Shareholder Distributions and Dividends Smart Worksheet and remove the amount entered here.
On Form 1120S, page 3-5, line 16d, enter the amount of the distribution.
Using the previously printed Schedule M-2 for guidance, manually enter the Schedule M-2.
After completing the Schedule M-2 entries, manually enter the end of year retained earnings on Schedule L, line 24.


 

Please note ProSeries Technical Support cannot provide tax advice or advise you on tax specific treatmentYou may wish to ask your tax specific questions on the ProSeries Online Community GEN73777"
Amortization of Mortgage Points for Schedule A Itemized Deductions,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000037396_en_US?modified_at=2018-04-21+06%3A06%3A09+UTC,2,2018-04-21 22:28:58,Last Modified 254 days ago,"Problem Description
How do I enter Amortization of Mortgage Points on the Schedule A?

Solution Description
To enter Mortgage point for Schedule A:

Go to Screen 22, Depreciation.
Click on Schedule A from the left navigation panel.    
Scroll down to the Federal Depreciation section.   
  

  
   
Select Schedule A (points) from the Form (Ctrl+T) drop down menu.    
Enter the Date Placed in Service (Negative Date = Various).
Enter the Cost or Basis.
Select Straight Line (Method 91) from the Method (Ctrl+T) drop down menu.
Enter the Life or Class Life (recovery period automatic).
Select 461 = Sec. 461- Points from the Amortization Code Section (Ctrl+T) drop down menu.    
Enter the remaining balance as Current depreciation/amortization (-1 = none) [O] (if this is the final year).

To adjust the calculation of deductible points:

Go to Screen 25, Itemized Deductions.
Scroll down to the Interest section.    
Enter the adjustment in Points Not on Form 1098 [A] (Ctrl + E). (Enter an increase as a positive number, a decrease as a negative number.)  
 GEN48058"
Married Filing Joint Versus Married Filing Separate Worksheet,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000039241_en_US?modified_at=2018-04-21+19%3A02%3A13+UTC,1,2018-04-21 22:29:01,Last Modified 254 days ago,"Problem Description
How do I compare married filing joint between married filing separate on an individual return?

Solution Description

 Please 
 Note: ProSeries Basic Edition does not have the Married Filing Joint vs. Married Filing Separate Worksheet.  The married filing joint (MFJ) versus married filing separate (MFS) worksheet can be used to compare the different filing status.


  


 To access  this worksheet:




   Press the 
   F6 key on your keyboard.
   


   Type in 
   MFJ, this will highlight the MFJ vs. MFS Wks.
   


   Click 
   OK.
   


   Check the box to calculate the form.
   

Note: TSJ indicators must be enabled and tax return items must be allocated to either the taxpayer, spouse, or  joint for the information to flow to correctly.
To enable TSJ Indicators:



   Click on the 
   Tools menu button.
   


   Click on 
   Options.
   


   In the 
   General section under Form Indicators, check the box to 
   Show TSJ Indicators. In the clients return, you can now allocate tax return items between taxpayer, spouse or joint.
   

 

 If you wish to file the returns married filing separate, you can split the return by using the 
 Split MFJ Return feature:




   From the 
   HomeBase.
   


Highlight the file that you would like to split.
   


   Click on the 
   File menu button.
   


   Choose 
   Split MFJ Return.
   


   In the Split MFJ Return box, make sure both the taxpayer and spouse box is checked. You can also change the file name for each by typing in a new file name in the file name box.
   


   Click 
   OK.
   


   There will now be a separate federal/state return for both of the taxpayer and the spouse.
   

Verify the information in both returns.
 

Note: The ProSeries Basic Edition program does not support the MFJ vs. MFS Worksheet, or the ability to spilt an MFJ return automatically.  Please see 
 MFJ vs MFS Worksheet in ProSeries Basic

  GEN54139"
ProSeries Form 8888 FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030148_en_US?modified_at=2018-04-17+09%3A39%3A11+UTC,0,2018-04-21 22:29:04,Last Modified 254 days ago,"Below are the most popular support articles associated with Form 8888. 
    

Using Form 8888 to Collect Preparer Fees
Allocating 1040 Refund with Individual Form 8888
Form 8888 (1040)Using Federal Tax Refund to Purchase U.S. Series I Savings Bonds

  GEN88720"
ProSeries Schedule J FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030131_en_US?modified_at=2018-04-20+23%3A34%3A15+UTC,0,2018-04-21 22:29:07,Last Modified 254 days ago,"Below are the most popular support articles associated with Schedule J.   

Schedule J Income Averaging for Farmers and Fisherman

  GEN88701"
Individual 1040 Form Resources,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000024997_en_US?modified_at=2017-08-10+17%3A14%3A57+UTC,0,2017-08-10 17:14:57,Last Modified 254 days ago,"IRS Tax Map  -   Newly integrated into the 2016 Lacerte program at the forms level, the IRS Tax Map provides a powerful utiltiy that provides quick access to instructions, publications, and tax law frequently asked questions. 
Forms Status -   The Forms Status Notification tool keeps you up to date on avaiability of forms and schedules.  
E-file availability - Provides the latest approval status for modules at the state level.
 
. INF30932"
Amending an Amended Return (1040X),https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000038925_en_US?modified_at=2018-04-21+20%3A45%3A41+UTC,0,2018-04-21 22:29:13,Last Modified 254 days ago,"Description
How do I amend an amended return?

Solution Description
Note:  As always, we recommend making a copy of the original return (in this case, the amended return) and utilizing the copy to make the changes below.
​Solution #1
To amend an Amended Return manually:

Go to Screen 59, Amended Return (1040X).
Scroll down to the Federal Income Tax Return section.
Enter the Amended Return Amounts under the As Originally Reported column. (This should be the amounts from the 1040X, Column C already filed.)
Go to the various input screens to make the necessary changes.   Important- If the 1040X, Column A is not pulling in the amounts you entered on Screen 59, use Solution #2 to resolve this issue.

 

​Solution #1

To amend an Amended Return by having Lacerte pull in the correct As Originally Reported amounts:

Go to Screen 59, Amended Return (1040X).
Press Ctrl+W (this will take you to batch mode).
Verify that Screen 59, 1040X is highlighted under the input sheet column.    
Highlight Code 1.    
Press and Hold Ctrl+D to delete all codes.
Go to Forms and verify that Form 1040X is no longer generating (in bold). After verifying that Form 1040X is not generating: 
Make a note of the Client number.
Close Lacerte.
Browse to the Individual Data Path (i.e.: C:\LACERTE\16TAX\IDATA).
Double Click on the Notes folder.
Scroll through the folder to find your Client number.IOX (i.e.: X= Tax Year, i.e.: Client number.IO6= Tax Year 2016).
Right Click and Delete the .IOX file.   After deleting the .IOX file: 
Open Lacerte.
Open the Client File.
Go to Screen 59, Amended Return.
Select the returns to amend from the Federal/state return(s) to amend (Ctrl+T) (MANDATORY) drop down menu and click Yes to transfer the current amounts to the As Originally Reported column.
Go to the various input screens to make the necessary changes. 

 
  GEN53045"
1040 Entering Information from Form 1099-B,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000033113_en_US?modified_at=2017-08-10+17%3A15%3A00+UTC,0,2017-08-10 17:15:00,Last Modified 254 days ago,"Problem Description
Where can I enter information from a 1099-B? 

Solution Description

 The entry of Form 1099-B information depends on the type of transaction being reported.  Some transactions may need to be reported on Schedule D, Capital Gains and Losses,  while other may need Form 6781, Gains and Losses from Section 1256 Contracts and Straddles.  Please consult the government instructions for 
 Form 1099-B for additional information.


  


Additional Information:


Instructions for Form 1099-B
Form 6781, Gains and Losses from Section 1256 Contracts and Straddles
 GEN65992"
ProSeries Form 8936 FAQ's,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000030170_en_US?modified_at=2017-08-10+17%3A15%3A02+UTC,0,2017-08-10 17:15:02,Last Modified 254 days ago,"Below are the most popular support articles associated with Form 8936.
.   

Form 8936 calculated a credit less than $7,500 for a 4-wheeled plug-in electric vehicle

  GEN88741"
Electronic Filing Form 7004 Extensions for Calendar Year Filers after March 15th,https://accountants-community.intuit.com/content/p_sb_qbo_gl_sf_na_article:000025146_en_US?modified_at=2018-04-21+03%3A08%3A16+UTC,0,2018-04-21 22:29:23,Last Modified 253 days ago,"When attempting to electronically file a Form 7004 extension for a Federal S Corporation or Partnership calendar year filer, the ProSeries Final Review generates an error that indicates:


Cannot file Form 7004 electronically.




Form 7004 cannot be filed electronically after the 03/15/2017, the due date of the return.


If you proceed with attempting to submit the 1st extension electronically, the conversion fails with a message that indicates ""This 1st extension failed final review.  We recommend that you fix errors in the Final Review and reselect the first extension for conversion.""
 

Solution:
If you are attempting to electronically file a Partnership or S Corporate extension for a calendar year filer and the March 15th due date has passed, but before March 20th 2017 this ProSeries Final Review error will appear.


To electronically submit the Form 7004:



Ensure that all Final Review errors that report ""You Must Fix this Error"" are resolved, with the exception of the error that reports ""Form 7004 cannot be filed electronically after the 03/15/2017""


Save the return and go to the EF Center HomeBase.
Select only the client that you wish to file the extension for.  No other returns should be selected.
On the ProSeries toolbar, select EF Now.
In the Electronic Filing Options window, uncheck the box on the line that reads ""Enable conversion error checking.""
When you are ready to transmit the return, select OK. Your return should be successfully submitted for processing.

 


IMPORTANT!:




While the IRS recently granted additional time to request a extension for businesses affected by 'Winter Storm Stella', electronically filed Form 7004 extensions submitted after March 15 may be Rejected.  If the electronically filed extension is rejected, it will be necessary to paper file the extension. The Winter Storm Stella Extension period is only valid until March 20th 2017.  More information can be found on the IRS Web page here. 


  INF31356"
